Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,47.400002,47.470001,46.98,47.259998,782900,47.259998
2017-05-11,48.169998,48.279999,47.450001,47.52,829200,47.52
2017-05-10,47.740002,48.630001,47.669998,48.400002,1198100,48.400002
2017-05-09,47.27,48.09,47.060001,47.93,896000,47.93
2017-05-08,46.950001,47.470001,46.810001,47.27,1836600,47.27
2017-05-05,46.84,47.07,46.32,46.91,800100,46.91
2017-05-04,47.130001,47.349998,46.439999,46.810001,1132400,46.810001
2017-05-03,47.080002,47.110001,46.34,46.84,1356500,46.84
2017-05-02,46.619999,47.68,46.50,47.330002,1076900,47.330002
2017-05-01,46.330002,46.560001,45.709999,46.439999,892800,46.439999
2017-04-28,46.669998,46.740002,45.990002,46.049999,1116500,46.049999
2017-04-27,47.23,47.32,46.48,46.630001,1109600,46.630001
2017-04-26,47.34,47.889999,47.009998,47.07,1196200,47.07
2017-04-25,47.959999,48.02,47.299999,47.299999,1163300,47.299999
2017-04-24,48.040001,48.209999,46.990002,47.639999,1476100,47.639999
2017-04-21,45.02,47.25,44.09,47.18,3364700,47.18
2017-04-20,45.490002,45.93,45.080002,45.91,1684600,45.91
2017-04-19,45.110001,45.389999,44.93,45.200001,1746400,45.200001
2017-04-18,44.439999,45.150002,44.240002,44.91,1586400,44.91
2017-04-17,44.630001,44.790001,44.400002,44.759998,1214900,44.759998
2017-04-13,44.75,45.400002,44.48,44.490002,2032900,44.490002
2017-04-12,45.950001,45.950001,44.610001,44.84,1244100,44.84
2017-04-11,45.139999,45.939999,44.689999,45.939999,956000,45.939999
2017-04-10,45.52,45.91,45.23,45.290001,1184100,45.290001
2017-04-07,45.580002,45.759998,45.209999,45.240002,880600,45.240002
2017-04-06,45.689999,46.060001,45.130001,45.73,988000,45.73
2017-04-05,46.240002,46.849998,45.57,45.68,1559400,45.68
2017-04-04,46.599998,46.619999,45.09,45.959999,2249800,45.959999
2017-04-03,48.830002,48.830002,46.740002,46.860001,1373900,46.860001
2017-03-31,48.57,48.939999,48.57,48.830002,702300,48.830002
2017-03-30,47.959999,48.650002,47.939999,48.619999,659800,48.619999
2017-03-29,47.450001,48.110001,47.220001,48.00,772400,48.00
2017-03-28,47.080002,47.869999,46.869999,47.450001,1540900,47.450001
2017-03-27,47.060001,47.549999,46.830002,47.150002,1439200,47.150002
2017-03-24,48.779999,49.049999,48.060001,48.189999,831800,48.189999
2017-03-23,48.57,49.07,48.549999,48.709999,967100,48.709999
2017-03-22,48.560001,49.029999,48.23,48.580002,1135800,48.580002
2017-03-21,49.41,49.529999,48.599998,48.73,1388200,48.73
2017-03-20,49.52,49.720001,48.849998,49.07,868700,49.07
2017-03-17,49.450001,49.619999,49.029999,49.540001,875900,49.540001
2017-03-16,48.759998,49.509998,48.700001,49.380001,914600,49.380001
2017-03-15,48.220001,48.709999,47.880001,48.689999,769900,48.689999
2017-03-14,48.209999,48.32,47.799999,48.169998,566900,48.169998
2017-03-13,48.23,48.540001,48.060001,48.299999,646300,48.299999
2017-03-10,48.419998,48.419998,47.77,48.209999,1519200,48.209999
2017-03-09,48.41,48.66,47.369999,47.540001,889200,47.540001
2017-03-08,47.810001,48.50,47.75,48.48,1264800,48.48
2017-03-07,47.34,47.720001,47.130001,47.529999,771000,47.529999
2017-03-06,47.23,47.509998,46.970001,47.310001,919600,47.310001
2017-03-03,47.560001,47.68,47.099998,47.490002,1456000,47.490002
2017-03-02,48.16,48.419998,47.25,47.509998,3002100,47.509998
2017-03-01,48.970001,49.490002,48.27,48.310001,1524700,48.310001
2017-02-28,47.93,48.279999,47.599998,48.240002,1168700,48.240002
2017-02-27,48.049999,48.169998,47.720001,47.959999,757600,47.959999
2017-02-24,47.450001,47.959999,46.98,47.959999,744400,47.959999
2017-02-23,48.189999,48.560001,47.849998,47.98,2292700,47.98
2017-02-22,48.380001,48.610001,47.77,48.25,1038200,48.25
2017-02-21,48.200001,48.799999,48.080002,48.599998,1013100,48.36
2017-02-17,47.990002,48.59,47.689999,48.59,811800,48.350051
2017-02-16,48.27,48.50,47.68,48.07,1690300,47.832618
2017-02-15,47.349998,48.25,47.349998,48.150002,739200,47.912225
2017-02-14,47.360001,47.639999,47.150002,47.470001,1348300,47.235583
2017-02-13,47.400002,47.77,47.369999,47.509998,589600,47.275382
2017-02-10,47.509998,47.57,46.959999,47.209999,1357800,46.976865
2017-02-09,47.23,47.740002,47.18,47.200001,1174500,46.966916
2017-02-08,47.259998,47.259998,46.73,46.919998,2019900,46.688296
2017-02-07,48.560001,48.639999,47.200001,47.369999,1690800,47.136074
2017-02-06,48.419998,48.66,48.18,48.369999,1123000,48.131136
2017-02-03,47.779999,48.689999,47.779999,48.610001,1110800,48.369953
2017-02-02,47.049999,47.959999,46.880001,47.650002,1547800,47.414694
2017-02-01,47.490002,48.34,47.00,47.220001,1140100,46.986817
2017-01-31,46.150002,47.110001,45.48,47.060001,1680500,46.827608
2017-01-30,46.110001,46.25,45.349998,46.23,1375100,46.001704
2017-01-27,45.450001,46.779999,45.00,46.299999,3222000,46.071359
2017-01-26,49.849998,50.299999,49.27,49.93,1684500,49.683434
2017-01-25,49.869999,50.23,49.360001,49.810001,809300,49.564027
2017-01-24,48.93,49.41,48.689999,49.369999,1092400,49.126198
2017-01-23,48.759998,49.18,48.18,48.639999,852400,48.399803
2017-01-20,48.619999,49.25,48.540001,48.900002,1007000,48.658521
2017-01-19,49.540001,49.540001,48.360001,48.59,1049800,48.350051
2017-01-18,49.150002,49.529999,48.66,49.349998,1070400,49.106296
2017-01-17,49.549999,49.990002,48.959999,49.119999,824200,48.877432
2017-01-13,49.470001,50.049999,49.450001,49.91,614500,49.663532
2017-01-12,49.07,49.450001,48.689999,49.369999,788200,49.126198
