Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,11.07,11.07,10.54,10.62,8913300,10.62
2017-05-11,11.29,11.39,11.07,11.08,7720900,11.08
2017-05-10,11.08,11.30,11.02,11.17,11122200,11.17
2017-05-09,11.16,11.19,10.88,10.96,9612100,10.96
2017-05-08,11.15,11.29,11.01,11.14,9223600,11.14
2017-05-05,10.42,11.19,10.41,11.18,16448100,11.18
2017-05-04,10.51,10.55,10.03,10.34,19874100,10.34
2017-05-03,10.40,10.91,10.20,10.76,27223000,10.76
2017-05-02,10.75,10.77,10.39,10.42,10689000,10.42
2017-05-01,11.00,11.03,10.65,10.66,10134900,10.66
2017-04-28,11.22,11.26,10.97,11.03,11735300,11.03
2017-04-27,11.30,11.30,10.79,11.06,12996200,11.06
2017-04-26,11.39,11.87,11.36,11.45,9177000,11.45
2017-04-25,11.41,11.58,11.32,11.46,8800300,11.46
2017-04-24,11.46,11.53,11.32,11.37,9567000,11.37
2017-04-21,11.30,11.38,11.16,11.30,8211000,11.30
2017-04-20,11.30,11.59,11.18,11.38,8980700,11.38
2017-04-19,11.69,11.77,11.21,11.27,10529900,11.27
2017-04-18,11.66,11.84,11.50,11.64,8017900,11.64
2017-04-17,11.72,11.84,11.63,11.78,6601900,11.78
2017-04-13,12.06,12.06,11.61,11.72,12097000,11.72
2017-04-12,12.56,12.67,12.04,12.07,8233100,12.07
2017-04-11,12.75,12.79,12.35,12.53,9389400,12.53
2017-04-10,12.55,12.82,12.53,12.75,6436200,12.75
2017-04-07,12.64,12.71,12.40,12.43,6239200,12.43
2017-04-06,12.54,12.70,12.51,12.62,7180600,12.62
2017-04-05,12.68,13.04,12.41,12.44,11537000,12.44
2017-04-04,12.46,12.55,12.24,12.54,7963500,12.54
2017-04-03,12.45,12.59,12.28,12.46,8995300,12.46
2017-03-31,12.33,12.53,12.22,12.45,7045800,12.45
2017-03-30,12.50,12.64,12.27,12.35,13145300,12.35
2017-03-29,12.23,12.54,12.18,12.40,10442300,12.40
2017-03-28,12.13,12.33,11.99,12.23,10733100,12.23
2017-03-27,12.08,12.09,11.89,12.05,11212500,12.05
2017-03-24,12.33,12.47,12.17,12.26,8070200,12.26
2017-03-23,12.24,12.40,12.11,12.27,8295600,12.27
2017-03-22,12.10,12.39,12.02,12.28,10060000,12.28
2017-03-21,12.29,12.39,11.99,12.21,12377800,12.21
2017-03-20,12.27,12.30,11.81,12.22,20813600,12.22
