Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,9.42,9.42,9.23,9.25,3659100,9.25
2017-05-11,9.68,9.74,9.40,9.43,4204300,9.43
2017-05-10,9.63,9.72,9.51,9.72,3754500,9.72
2017-05-09,9.69,9.71,9.57,9.62,3441000,9.62
2017-05-08,9.65,9.73,9.62,9.65,3660000,9.65
2017-05-05,9.62,9.68,9.56,9.59,4872600,9.59
2017-05-04,9.68,9.69,9.54,9.61,5249500,9.61
2017-05-03,9.77,9.81,9.58,9.66,4751300,9.66
2017-05-02,9.69,10.25,9.61,9.78,7915900,9.78
2017-05-01,9.80,9.81,9.63,9.65,3298600,9.65
2017-04-28,9.86,9.86,9.68,9.77,3289700,9.77
2017-04-27,9.79,9.89,9.65,9.83,3363900,9.83
2017-04-26,9.83,9.95,9.82,9.83,2992500,9.83
2017-04-25,9.90,9.92,9.73,9.83,4454300,9.83
2017-04-24,9.81,9.93,9.72,9.88,4496300,9.88
2017-04-21,9.71,9.80,9.59,9.72,4384800,9.72
2017-04-20,9.65,9.84,9.62,9.74,3395300,9.74
2017-04-19,9.66,9.75,9.60,9.62,4576400,9.62
2017-04-18,9.58,9.68,9.53,9.60,4964900,9.60
2017-04-17,9.55,9.64,9.51,9.60,5239200,9.60
2017-04-13,9.50,9.62,9.50,9.52,5768000,9.52
2017-04-12,9.64,9.65,9.42,9.51,8478200,9.51
2017-04-11,9.71,9.74,9.61,9.68,4594000,9.68
2017-04-10,9.90,9.93,9.69,9.70,10487100,9.70
2017-04-07,9.81,9.87,9.66,9.75,8770500,9.75
2017-04-06,9.86,10.18,9.76,9.82,13663800,9.82
2017-04-05,9.71,10.06,9.61,9.76,21342800,9.76
2017-04-04,8.63,10.00,8.62,9.51,31296700,9.51
2017-04-03,8.76,8.83,8.59,8.66,3920200,8.66
2017-03-31,8.73,8.90,8.71,8.77,5150800,8.77
2017-03-30,8.58,8.76,8.52,8.74,6184400,8.74
2017-03-29,8.49,8.61,8.48,8.57,4270400,8.57
2017-03-28,8.30,8.50,8.30,8.49,4257400,8.49
2017-03-27,8.37,8.48,8.30,8.36,5853600,8.36
2017-03-24,8.50,8.55,8.41,8.47,5546300,8.47
2017-03-23,8.54,8.68,8.48,8.52,4345500,8.52
2017-03-22,8.53,8.56,8.42,8.51,4850300,8.51
2017-03-21,8.85,8.89,8.60,8.64,7240000,8.52
2017-03-20,8.98,9.00,8.76,8.83,5438500,8.707361
2017-03-17,8.84,9.01,8.75,9.00,12925500,8.875
2017-03-16,8.80,8.88,8.66,8.76,6288800,8.638334
2017-03-15,8.46,8.81,8.46,8.78,5984000,8.658055
2017-03-14,8.56,8.70,8.44,8.67,5162300,8.549583
2017-03-13,8.65,8.76,8.50,8.57,6841400,8.450972
2017-03-10,8.53,9.11,8.53,8.68,16698700,8.559445
2017-03-09,8.38,9.17,8.35,8.49,17048600,8.372083
2017-03-08,8.77,9.06,8.76,8.96,7029500,8.835556
2017-03-07,8.83,8.87,8.74,8.78,4620900,8.658055
2017-03-06,8.94,8.97,8.75,8.87,6171400,8.746805
2017-03-03,9.27,9.37,8.91,8.99,5293700,8.865139
2017-03-02,9.12,9.29,9.10,9.25,5336600,9.121528
2017-03-01,9.12,9.35,9.02,9.17,9123500,9.042639
2017-02-28,9.27,9.27,8.82,8.99,9641400,8.865139
2017-02-27,9.26,9.34,9.20,9.31,4254200,9.180695
2017-02-24,9.11,9.35,9.02,9.28,5471000,9.151111
2017-02-23,9.55,9.56,9.06,9.08,6701700,8.953889
2017-02-22,9.34,9.61,9.30,9.48,8006200,9.348333
2017-02-21,9.35,9.39,9.28,9.34,4413900,9.210278
2017-02-17,9.25,9.32,9.15,9.31,6881200,9.180695
2017-02-16,9.47,9.53,9.22,9.27,4665900,9.14125
2017-02-15,9.46,9.47,9.35,9.46,4871600,9.328611
2017-02-14,9.20,9.56,9.20,9.46,7669500,9.328611
2017-02-13,9.20,9.31,9.16,9.20,4538500,9.072222
2017-02-10,9.02,9.18,9.00,9.15,3569700,9.022916
2017-02-09,8.90,9.20,8.87,9.03,5925100,8.904583
2017-02-08,8.86,9.06,8.86,8.92,7337300,8.796111
2017-02-07,8.95,9.01,8.87,8.92,4356900,8.796111
2017-02-06,9.00,9.08,8.92,8.95,4076800,8.825694
2017-02-03,9.05,9.15,9.00,9.03,4387900,8.904583
2017-02-02,9.02,9.12,8.93,9.02,4563500,8.894723
2017-02-01,9.26,9.28,8.98,9.03,5346200,8.904583
2017-01-31,9.21,9.22,8.92,9.20,5257300,9.072222
2017-01-30,9.11,9.23,9.04,9.21,4612500,9.082083
2017-01-27,9.34,9.35,9.10,9.16,2996300,9.032778
2017-01-26,9.38,9.46,9.27,9.30,4748500,9.170833
2017-01-25,9.31,9.48,9.30,9.41,6099800,9.279305
2017-01-24,9.09,9.29,9.03,9.27,5410800,9.14125
2017-01-23,9.13,9.15,8.97,9.06,4166100,8.934167
2017-01-20,9.08,9.19,9.03,9.16,4384700,9.032778
2017-01-19,9.26,9.30,9.00,9.05,3921300,8.924306
