Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,26.809999,26.825001,26.01,26.59,23117600,26.59
2017-05-11,27.67,27.68,26.60,26.93,14155000,26.93
2017-05-10,28.01,28.120001,27.68,27.76,11018200,27.76
2017-05-09,28.440001,28.530001,28.02,28.10,8665700,28.10
2017-05-08,28.58,28.700001,28.35,28.379999,8054600,28.379999
2017-05-05,28.84,29.25,28.42,28.610001,10945300,28.610001
2017-05-04,28.790001,28.98,28.540001,28.67,9812900,28.67
2017-05-03,28.620001,29.18,28.52,28.77,14287700,28.640001
2017-05-02,27.959999,28.93,27.68,28.870001,25490600,28.73955
2017-05-01,27.98,28.620001,27.200001,27.940001,22971500,27.813752
2017-04-28,27.50,29.08,27.24,27.799999,46376200,27.674383
2017-04-27,33.439999,33.439999,33.00,33.049999,7139800,32.900661
2017-04-26,33.73,33.799999,32.650002,33.23,11545900,33.079848
2017-04-25,34.189999,34.330002,33.630001,33.82,6164900,33.667182
2017-04-24,34.299999,34.349998,33.68,33.900002,4231800,33.746822
2017-04-21,33.779999,33.880001,33.259998,33.380001,4729700,33.229171
2017-04-20,33.32,34.009998,33.27,33.849998,5408300,33.697045
2017-04-19,33.060001,33.23,32.869999,33.00,3358600,32.850887
2017-04-18,32.810001,33.064999,32.560001,32.849998,4971700,32.701564
2017-04-17,32.41,33.040001,32.279999,33.02,4183900,32.870797
2017-04-13,32.669998,32.990002,32.369999,32.369999,5266500,32.223733
2017-04-12,32.82,33.23,32.709999,32.810001,4596100,32.661747
2017-04-11,32.549999,33.118,32.25,33.049999,6759700,32.900661
2017-04-10,33.189999,33.465,32.814999,32.869999,6846200,32.721474
2017-04-07,32.959999,33.419998,32.869999,33.16,3734700,33.010164
2017-04-06,33.23,33.59,32.945,33.23,10510500,33.079848
2017-04-05,34.240002,34.360001,33.139999,33.259998,5021000,33.109711
2017-04-04,33.580002,33.91,33.580002,33.73,2556000,33.577588
2017-04-03,34.450001,34.540001,33.275002,33.759998,6171300,33.607451
2017-03-31,34.27,34.529999,34.125,34.299999,5031400,34.145012
2017-03-30,33.82,34.584999,33.779999,34.43,5122200,34.274426
2017-03-29,33.639999,33.93,33.549999,33.779999,4487100,33.627362
2017-03-28,32.810001,33.900002,32.599998,33.66,6438000,33.507905
2017-03-27,32.59,32.970001,32.240002,32.740002,8790100,32.592064
2017-03-24,33.560001,33.689999,33.029999,33.310001,4682500,33.159488
2017-03-23,33.07,33.82,32.93,33.43,6455500,33.278945
2017-03-22,32.900002,33.529999,32.48,33.080002,8907100,32.930528
2017-03-21,34.389999,34.50,32.939999,33.02,11893000,32.870797
2017-03-20,35.080002,35.200001,34.189999,34.200001,9393700,34.045466
