Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,28.57,28.940001,28.459999,28.870001,1155800,28.870001
2017-05-11,28.92,28.92,28.440001,28.57,1326400,28.57
2017-05-10,29.07,29.120001,28.84,29.00,955600,29.00
2017-05-09,29.16,29.370001,28.809999,29.10,1209300,29.10
2017-05-08,29.35,29.469999,29.00,29.16,1077900,29.16
2017-05-05,29.139999,29.42,28.790001,29.40,1576700,29.40
2017-05-04,29.25,29.25,28.799999,29.049999,1296800,29.049999
2017-05-03,28.99,29.35,28.950001,29.110001,1461700,29.110001
2017-05-02,29.01,29.24,28.950001,29.120001,2055400,29.120001
2017-05-01,29.209999,29.34,28.93,29.040001,2291500,29.040001
2017-04-28,29.41,29.48,28.82,29.18,2865000,29.18
2017-04-27,29.360001,30.879999,28.68,29.370001,6399100,29.370001
2017-04-26,31.440001,32.200001,31.440001,32.00,2290200,32.00
2017-04-25,31.58,31.610001,31.190001,31.57,1938200,31.57
2017-04-24,31.610001,31.65,31.24,31.41,1443700,31.41
2017-04-21,31.879999,31.959999,31.040001,31.059999,1604800,31.059999
2017-04-20,31.450001,32.130001,31.23,31.940001,2313800,31.940001
2017-04-19,31.15,31.48,31.10,31.32,1212400,31.32
2017-04-18,30.82,31.209999,30.76,30.969999,1285300,30.969999
2017-04-17,30.60,31.139999,30.530001,31.040001,1340800,31.040001
2017-04-13,30.280001,30.60,30.16,30.440001,998000,30.440001
2017-04-12,30.459999,30.459999,30.190001,30.309999,909200,30.309999
2017-04-11,30.25,30.51,30.040001,30.440001,800900,30.440001
2017-04-10,30.290001,30.51,30.200001,30.41,944400,30.41
2017-04-07,30.16,30.370001,30.07,30.290001,1300100,30.290001
2017-04-06,30.10,30.299999,29.90,30.24,1189500,30.24
2017-04-05,30.530001,30.76,30.040001,30.08,862500,30.08
2017-04-04,30.41,30.629999,30.290001,30.379999,640900,30.379999
2017-04-03,31.09,31.379999,30.35,30.459999,1055800,30.459999
2017-03-31,31.27,31.559999,31.120001,31.120001,1218600,31.120001
2017-03-30,31.02,31.27,31.00,31.27,903500,31.27
2017-03-29,30.67,31.030001,30.530001,31.02,948900,31.02
2017-03-28,30.41,30.91,30.25,30.799999,1002300,30.799999
2017-03-27,29.99,30.530001,29.73,30.41,879300,30.41
2017-03-24,30.58,30.629999,30.280001,30.299999,2498700,30.299999
2017-03-23,30.360001,30.58,30.24,30.440001,672500,30.440001
2017-03-22,30.25,30.379999,30.02,30.379999,900700,30.379999
2017-03-21,31.16,31.360001,30.23,30.27,1477800,30.27
2017-03-20,30.799999,30.99,30.620001,30.940001,1203800,30.940001
2017-03-17,31.370001,31.40,30.76,30.76,1069000,30.76
2017-03-16,31.27,31.51,31.07,31.200001,1353900,31.200001
2017-03-15,31.110001,31.200001,30.76,31.07,1964300,31.07
2017-03-14,30.950001,31.15,30.58,30.969999,2898600,30.969999
2017-03-13,31.35,31.459999,30.940001,30.99,1489100,30.99
