Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,22.99,23.030001,22.559999,22.66,3144000,22.66
2017-05-11,23.25,23.299999,22.99,23.110001,2476800,23.110001
2017-05-10,23.280001,23.57,23.110001,23.309999,5277000,23.309999
2017-05-09,24.620001,25.48,23.58,24.049999,5828300,24.049999
2017-05-08,25.809999,26.07,25.459999,25.790001,7315300,25.790001
2017-05-05,24.99,25.82,24.99,25.75,3339800,25.75
2017-05-04,25.10,25.10,24.700001,25.00,2912200,25.00
2017-05-03,25.17,25.200001,24.67,25.030001,2331500,25.030001
2017-05-02,25.719999,25.74,24.92,25.219999,2948000,25.219999
2017-05-01,25.719999,25.950001,25.57,25.780001,3125500,25.780001
2017-04-28,25.85,25.879999,25.42,25.48,1891400,25.48
2017-04-27,25.889999,25.940001,25.73,25.860001,1163000,25.860001
2017-04-26,25.58,25.98,25.549999,25.799999,1400000,25.799999
2017-04-25,25.780001,25.959999,25.57,25.58,1346600,25.58
2017-04-24,26.09,26.10,25.540001,25.57,2205400,25.57
2017-04-21,26.040001,26.16,25.780001,25.83,1318800,25.83
2017-04-20,25.889999,26.25,25.860001,26.110001,1731300,26.110001
2017-04-19,25.540001,25.92,25.51,25.84,1811000,25.84
2017-04-18,25.23,25.49,25.129999,25.459999,1102700,25.459999
2017-04-17,25.26,25.42,25.23,25.41,895900,25.41
2017-04-13,25.379999,25.469999,25.18,25.209999,1150800,25.209999
2017-04-12,25.60,25.68,25.370001,25.43,1647000,25.43
2017-04-11,25.51,25.639999,25.370001,25.639999,1160900,25.639999
2017-04-10,25.360001,25.75,25.360001,25.629999,2525700,25.629999
2017-04-07,25.52,25.620001,25.26,25.290001,1478900,25.290001
2017-04-06,25.43,25.629999,25.27,25.60,2057000,25.60
2017-04-05,25.76,25.90,25.360001,25.40,1263100,25.40
2017-04-04,25.530001,25.709999,25.52,25.610001,1217300,25.610001
2017-04-03,25.620001,26.00,25.48,25.559999,1945700,25.559999
2017-03-31,25.83,25.950001,25.60,25.620001,1547100,25.620001
2017-03-30,25.66,25.90,25.60,25.860001,1196900,25.860001
2017-03-29,25.66,25.780001,25.530001,25.65,1573200,25.65
2017-03-28,25.35,25.76,25.34,25.610001,1332900,25.610001
2017-03-27,25.209999,25.559999,25.16,25.42,908000,25.42
2017-03-24,25.67,25.90,25.42,25.530001,1396200,25.530001
2017-03-23,25.42,25.83,25.26,25.639999,1517700,25.639999
2017-03-22,25.290001,25.549999,25.17,25.379999,1248900,25.379999
2017-03-21,25.99,26.059999,25.27,25.280001,1960400,25.280001
2017-03-20,26.059999,26.09,25.780001,25.870001,945100,25.870001
2017-03-17,26.09,26.24,25.889999,26.07,2496000,26.07
2017-03-16,26.23,26.33,25.98,26.040001,1701100,26.040001
2017-03-15,26.16,26.26,25.99,26.190001,1570300,26.190001
2017-03-14,26.01,26.08,25.85,26.01,1240800,26.01
2017-03-13,26.280001,26.389999,26.00,26.059999,1142100,26.059999
2017-03-10,26.33,26.49,26.040001,26.23,1790700,26.23
2017-03-09,25.969999,26.43,25.889999,26.41,4387900,26.41
2017-03-08,25.77,26.02,25.67,25.90,3457200,25.90
2017-03-07,26.110001,26.110001,25.73,25.82,2462200,25.679999
2017-03-06,25.66,26.08,25.66,25.99,2319400,25.849077
2017-03-03,26.01,26.040001,25.700001,25.92,1913500,25.779457
2017-03-02,26.18,26.219999,25.940001,26.00,1987100,25.859023
2017-03-01,26.059999,26.629999,26.040001,26.290001,4455800,26.147452
2017-02-28,25.530001,26.09,25.43,25.629999,3844800,25.491029
2017-02-27,24.84,26.65,24.84,25.66,4721200,25.520867
2017-02-24,24.58,24.809999,24.450001,24.799999,2536300,24.665529
2017-02-23,24.780001,24.889999,24.43,24.74,1738400,24.605855
2017-02-22,24.60,24.790001,24.52,24.700001,2216800,24.566073
2017-02-21,24.42,24.73,24.389999,24.59,1540900,24.456669
2017-02-17,24.27,24.40,24.15,24.370001,1398900,24.237862
2017-02-16,24.26,24.59,24.209999,24.309999,1802100,24.178186
2017-02-15,24.01,24.469999,24.01,24.33,1803000,24.198078
2017-02-14,23.76,24.34,23.57,24.15,2484900,24.019054
2017-02-13,23.780001,24.049999,23.780001,23.82,1949800,23.690843
2017-02-10,23.549999,23.719999,23.379999,23.66,1575300,23.531711
2017-02-09,23.24,23.51,23.139999,23.450001,2312400,23.322851
2017-02-08,23.09,23.219999,22.83,23.17,2027000,23.044368
2017-02-07,23.290001,23.379999,23.17,23.17,1698000,23.044368
2017-02-06,23.389999,23.75,23.200001,23.209999,1949100,23.08415
2017-02-03,23.379999,23.50,23.32,23.459999,1294100,23.332795
2017-02-02,23.209999,23.42,22.99,23.280001,1595000,23.153772
2017-02-01,22.950001,23.48,22.91,23.34,2387100,23.213447
2017-01-31,22.620001,22.940001,22.57,22.91,2258200,22.785778
