Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,55.900002,56.009998,55.00,55.799999,8815200,55.799999
2017-05-11,57.75,57.869999,55.939999,56.060001,12770400,56.060001
2017-05-10,57.880001,58.490002,57.689999,58.41,6952100,58.41
2017-05-09,57.41,58.650002,57.349998,58.080002,8015100,58.080002
2017-05-08,57.509998,57.549999,57.029999,57.299999,4549300,57.299999
2017-05-05,57.330002,57.580002,56.830002,57.32,4451300,57.32
2017-05-04,57.50,57.68,56.650002,57.290001,5508800,57.290001
2017-05-03,56.139999,57.540001,55.919998,57.34,7450100,57.34
2017-05-02,55.740002,56.34,55.630001,56.16,3973300,56.16
2017-05-01,55.810001,56.00,55.52,55.77,5164200,55.77
2017-04-28,56.080002,56.080002,55.360001,55.849998,8424300,55.849998
2017-04-27,55.98,56.169998,55.68,56.09,3853800,56.09
2017-04-26,55.369999,56.290001,55.209999,55.98,6186000,55.98
2017-04-25,54.900002,55.16,54.799999,55.150002,4072600,55.150002
2017-04-24,55.16,55.290001,54.419998,54.82,5677500,54.82
2017-04-21,54.540001,55.130001,54.540001,54.779999,6023000,54.779999
2017-04-20,54.209999,54.880001,54.110001,54.639999,5841400,54.639999
2017-04-19,53.790001,54.380001,53.709999,53.889999,5418100,53.889999
2017-04-18,53.599998,53.82,53.43,53.599998,4346000,53.599998
2017-04-17,53.360001,53.68,53.099998,53.68,4701000,53.68
2017-04-13,53.490002,53.639999,53.290001,53.389999,5083000,53.389999
2017-04-12,53.360001,53.529999,53.189999,53.400002,4441100,53.400002
2017-04-11,53.810001,53.900002,53.139999,53.709999,4909400,53.709999
2017-04-10,53.48,54.34,53.400002,53.790001,4928500,53.790001
2017-04-07,53.470001,53.790001,52.970001,53.240002,5269100,53.240002
2017-04-06,53.16,54.130001,53.07,53.57,8666800,53.57
2017-04-05,53.549999,53.84,52.720001,52.75,6756800,52.75
2017-04-04,53.82,53.990002,52.98,53.43,6574900,53.43
2017-04-03,55.220001,55.23,53.849998,54.029999,6872100,54.029999
2017-03-31,55.200001,55.77,55.130001,55.189999,7412200,55.189999
2017-03-30,55.060001,55.41,54.869999,55.25,4783300,55.25
2017-03-29,53.650002,55.580002,53.549999,55.150002,9691300,55.150002
2017-03-28,53.189999,53.68,53.18,53.599998,4376500,53.599998
2017-03-27,53.00,53.75,52.849998,53.330002,7636400,53.330002
2017-03-24,53.25,53.349998,52.91,53.119999,4297900,53.119999
2017-03-23,53.48,53.639999,53.049999,53.139999,5688000,53.139999
2017-03-22,53.349998,53.669998,52.77,53.580002,5831300,53.580002
2017-03-21,54.41,54.459999,53.23,53.389999,9091100,53.389999
2017-03-20,54.549999,54.639999,53.939999,54.369999,8010500,54.369999
2017-03-17,54.700001,54.779999,54.290001,54.290001,14030000,54.290001
2017-03-16,54.400002,54.950001,54.25,54.59,6277300,54.59
2017-03-15,54.599998,54.709999,54.119999,54.57,8216900,54.57
2017-03-14,55.200001,55.369999,54.68,54.75,5847000,54.75
2017-03-13,55.380001,55.610001,54.84,55.189999,7492700,55.189999
2017-03-10,55.349998,55.880001,55.049999,55.360001,7460200,55.360001
2017-03-09,55.00,55.349998,54.41,55.200001,10840200,55.200001
2017-03-08,55.439999,55.549999,55.00,55.02,9404700,55.02
2017-03-07,56.099998,56.43,55.049999,55.139999,13217700,55.139999
2017-03-06,57.299999,57.349998,56.00,56.099998,11293100,56.099998
2017-03-03,58.240002,58.279999,57.09,57.349998,9057200,57.349998
2017-03-02,58.00,58.52,57.75,57.950001,10957100,57.950001
2017-03-01,58.779999,59.330002,57.349998,57.830002,22760400,57.830002
2017-02-28,66.910004,66.910004,57.299999,58.77,45090800,58.77
2017-02-27,66.389999,67.080002,66.230003,66.910004,6825700,66.910004
2017-02-24,65.260002,66.639999,64.93,66.510002,6859200,66.510002
2017-02-23,66.040001,66.150002,64.870003,64.980003,4817600,64.980003
2017-02-22,66.059998,66.279999,65.599998,65.940002,3019800,65.940002
2017-02-21,66.260002,66.389999,65.790001,66.209999,4688300,66.209999
2017-02-17,65.239998,65.900002,64.919998,65.790001,4116700,65.790001
2017-02-16,65.769997,65.849998,65.029999,65.199997,3294900,65.199997
2017-02-15,65.50,65.949997,65.239998,65.75,3958500,65.75
2017-02-14,64.519997,65.660004,64.519997,65.650002,5115400,65.650002
2017-02-13,65.620003,65.699997,64.529999,64.809998,4218200,64.809998
2017-02-10,66.510002,66.959999,65.220001,65.730003,5520800,65.130002
2017-02-09,64.769997,66.540001,64.610001,66.410004,7754800,65.803795
2017-02-08,63.509998,64.910004,63.380001,64.769997,4511000,64.178758
2017-02-07,63.880001,64.160004,63.450001,63.57,4256000,62.989715
2017-02-06,63.77,63.950001,63.360001,63.419998,6003300,62.841083
2017-02-03,63.860001,64.349998,63.52,63.75,4965300,63.168073
2017-02-02,63.91,64.169998,63.66,63.68,5518400,63.098712
2017-02-01,63.98,64.160004,63.459999,63.669998,5307400,63.088801
2017-01-31,63.799999,64.50,63.450001,64.480003,5735100,63.891412
2017-01-30,63.700001,64.139999,63.490002,64.120003,5220500,63.534698
2017-01-27,64.550003,64.769997,62.939999,63.700001,7472000,63.11853
2017-01-26,64.849998,64.910004,64.120003,64.169998,4393100,63.584237
2017-01-25,64.730003,65.169998,64.660004,65.00,5702500,64.406662
2017-01-24,63.849998,64.419998,63.610001,64.410004,6084400,63.822052
2017-01-23,64.07,64.550003,63.549999,63.849998,7909000,63.267158
2017-01-20,65.389999,65.410004,63.779999,64.099998,12983500,63.514876
2017-01-19,66.330002,66.879997,65.059998,65.389999,12274900,64.793102
2017-01-18,68.00,68.00,66.349998,66.849998,19063200,66.239773
2017-01-17,70.760002,72.080002,70.629997,70.940002,5426700,70.292443
2017-01-13,71.07,71.379997,70.029999,70.190002,5332300,69.549289
2017-01-12,71.43,71.709999,70.790001,71.25,4163200,70.599611
2017-01-11,71.68,71.93,71.330002,71.610001,3479900,70.956325
2017-01-10,71.379997,72.010002,71.010002,71.43,4681800,70.777968
2017-01-09,71.550003,71.870003,71.360001,71.43,3807100,70.777968
2017-01-06,71.980003,72.230003,71.18,71.440002,5235100,70.787879
2017-01-05,72.330002,72.720001,70.849998,72.559998,7096300,71.89765
2017-01-04,73.099998,74.239998,73.099998,73.809998,5316200,73.13624
2017-01-03,72.660004,72.889999,71.989998,72.75,3907100,72.085918
2016-12-30,72.709999,72.93,71.879997,72.230003,3069200,71.570668
2016-12-29,72.779999,73.169998,72.43,72.620003,2795300,71.957108
2016-12-28,73.75,73.980003,72.75,72.830002,2648500,72.16519
2016-12-27,73.830002,74.230003,73.559998,73.699997,2200300,73.027243
2016-12-23,73.980003,74.480003,73.290001,73.50,3333700,72.829072
2016-12-22,76.849998,77.00,73.410004,73.739998,8438800,73.066879
2016-12-21,77.370003,77.870003,77.120003,77.129997,2152400,76.425934
2016-12-20,77.349998,78.00,77.260002,77.650002,3504600,76.941191
2016-12-19,76.580002,77.639999,76.519997,77.040001,2856600,76.336759
2016-12-16,77.040001,78.370003,76.470001,76.75,8217400,76.049405
2016-12-15,77.139999,77.690002,76.790001,76.980003,4089400,76.277309
2016-12-14,77.449997,77.849998,76.849998,77.190002,6045400,76.485391
2016-12-13,77.00,78.059998,76.489998,77.669998,4925600,76.961005
2016-12-12,76.980003,77.43,76.349998,76.739998,4489300,76.039494
2016-12-09,77.440002,77.690002,76.879997,77.389999,4047700,76.683562
2016-12-08,77.349998,78.419998,77.160004,77.839996,5090500,77.129452
2016-12-07,76.790001,77.18,76.099998,76.970001,6791000,76.267398
2016-12-06,76.910004,77.080002,76.050003,76.769997,7704200,76.069219
2016-12-05,78.010002,78.080002,76.800003,76.980003,7173300,76.277309
2016-12-02,77.239998,78.400002,76.830002,77.940002,7523700,77.228545
2016-12-01,76.860001,78.580002,76.589996,77.82,6685300,77.109638
2016-11-30,77.730003,78.040001,77.059998,77.239998,5819100,76.53493
2016-11-29,78.00,78.690002,77.75,78.410004,4694000,77.694256
2016-11-28,78.370003,78.940002,77.50,77.720001,5405500,77.010552
2016-11-25,78.849998,79.330002,78.419998,78.610001,2543800,77.892427
2016-11-23,77.93,78.959999,77.580002,78.480003,6768400,77.763616
2016-11-22,76.889999,78.129997,76.860001,77.870003,5853300,77.159184
2016-11-21,76.120003,76.809998,76.00,76.510002,4477000,75.811598
2016-11-18,75.900002,76.389999,75.690002,76.190002,6057500,75.494519
2016-11-17,76.18,76.43,75.400002,76.129997,8065000,75.435062
2016-11-16,77.50,78.300003,75.559998,76.029999,22059200,75.335976
2016-11-15,72.309998,72.370003,71.169998,71.440002,7693800,70.787879
2016-11-14,71.07,72.879997,70.849998,72.169998,7455400,71.511211
2016-11-11,70.43,71.540001,70.199997,71.349998,5330600,70.104173
2016-11-10,69.669998,72.199997,69.389999,70.540001,9639100,69.308319
2016-11-09,66.290001,69.25,66.010002,68.809998,9570700,67.608522
