Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,58.759998,59.00,58.009998,58.240002,2748300,58.240002
2017-05-11,57.869999,58.200001,57.459999,58.049999,3549000,58.049999
2017-05-10,58.00,58.169998,57.560001,58.040001,4426700,58.040001
2017-05-09,59.509998,59.580002,57.810001,57.880001,5746900,57.880001
2017-05-08,62.009998,62.009998,59.099998,59.48,10075600,59.48
2017-05-05,63.150002,63.68,63.060001,63.330002,2768400,63.330002
2017-05-04,62.669998,63.209999,62.290001,62.970001,2115900,62.970001
2017-05-03,63.41,63.41,62.360001,62.650002,1984600,62.650002
2017-05-02,64.010002,64.059998,62.970001,63.220001,1846800,63.220001
2017-05-01,64.510002,64.529999,63.799999,63.869999,1702200,63.869999
2017-04-28,64.360001,64.550003,64.010002,64.260002,2510200,64.260002
2017-04-27,64.660004,65.080002,64.43,64.610001,1492400,64.610001
2017-04-26,65.120003,65.150002,64.470001,64.529999,2106500,64.529999
2017-04-25,66.440002,66.870003,64.790001,65.129997,4956300,65.129997
2017-04-24,65.660004,65.779999,64.93,65.389999,2414300,65.389999
2017-04-21,65.139999,65.519997,64.68,65.139999,3071700,65.139999
2017-04-20,64.669998,65.449997,64.599998,65.040001,2430700,65.040001
2017-04-19,65.190002,65.339996,64.550003,64.629997,2119500,64.629997
2017-04-18,64.410004,65.599998,64.209999,65.239998,4011300,65.239998
2017-04-17,63.639999,64.809998,63.400002,64.459999,2509200,64.459999
2017-04-13,64.379997,64.440002,63.439999,63.470001,2100200,63.470001
2017-04-12,62.669998,64.389999,62.540001,64.260002,3886800,64.260002
2017-04-11,62.470001,62.860001,62.369999,62.860001,1644000,62.860001
2017-04-10,62.259998,62.880001,62.02,62.650002,1726300,62.650002
2017-04-07,62.599998,62.709999,62.07,62.16,2473600,62.16
2017-04-06,61.91,62.73,61.779999,62.619999,2277100,62.619999
2017-04-05,62.080002,62.59,61.720001,61.950001,2159200,61.950001
2017-04-04,61.93,62.110001,61.50,62.07,2889100,62.07
2017-04-03,61.959999,62.349998,61.700001,61.98,1561500,61.98
2017-03-31,61.630001,62.099998,61.580002,61.709999,2469000,61.709999
2017-03-30,61.869999,62.07,61.59,61.639999,1556900,61.639999
2017-03-29,61.880001,62.209999,61.610001,61.880001,1698600,61.880001
2017-03-28,61.73,61.98,61.259998,61.82,1704100,61.82
2017-03-27,62.09,62.869999,61.73,61.84,1892100,61.84
2017-03-24,62.509998,62.790001,62.310001,62.57,1655800,62.57
2017-03-23,62.509998,63.049999,62.23,62.330002,1563700,62.330002
2017-03-22,62.27,62.82,61.689999,62.720001,1998000,62.720001
2017-03-21,62.290001,62.34,61.560001,62.259998,2466000,62.259998
2017-03-20,61.84,62.48,61.549999,62.360001,2076000,62.360001
2017-03-17,62.060001,62.279999,61.619999,61.84,4123000,61.84
2017-03-16,62.900002,62.900002,61.209999,62.00,4219000,62.00
2017-03-15,62.889999,63.459999,62.310001,63.099998,1993200,63.099998
2017-03-14,63.610001,63.73,62.25,62.669998,2060300,62.669998
2017-03-13,63.689999,63.93,63.27,63.599998,3584200,63.599998
