Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,81.699997,81.959999,80.639999,80.860001,1590800,80.860001
2017-05-11,83.510002,83.510002,81.709999,81.830002,1764100,81.830002
2017-05-10,83.690002,83.830002,81.68,83.080002,2488400,83.080002
2017-05-09,81.800003,84.230003,81.800003,83.470001,3016600,83.470001
2017-05-08,81.059998,82.080002,80.559998,81.849998,1755500,81.849998
2017-05-05,79.309998,80.919998,78.970001,80.860001,1667400,80.860001
2017-05-04,78.769997,79.620003,78.349998,78.919998,2076000,78.919998
2017-05-03,79.209999,80.019997,78.25,79.559998,1692100,79.559998
2017-05-02,79.120003,79.769997,78.940002,79.550003,895900,79.550003
2017-05-01,79.970001,79.970001,78.550003,78.879997,1321600,78.879997
2017-04-28,80.110001,80.220001,79.07,79.709999,1572300,79.709999
2017-04-27,79.480003,79.919998,78.349998,79.849998,1668600,79.849998
2017-04-26,80.059998,81.199997,79.769997,80.07,1562200,80.07
2017-04-25,80.199997,80.739998,79.550003,80.660004,1652900,80.660004
2017-04-24,78.879997,80.480003,78.370003,80.040001,2953000,80.040001
2017-04-21,76.739998,78.190002,76.150002,77.889999,2105000,77.889999
2017-04-20,75.589996,77.089996,75.459999,76.389999,1678700,76.389999
2017-04-19,77.160004,77.360001,75.110001,75.489998,3112500,75.489998
2017-04-18,78.779999,79.379997,76.839996,77.209999,2369700,77.209999
2017-04-17,79.900002,80.07,78.839996,79.370003,1521500,79.370003
2017-04-13,81.120003,81.839996,79.720001,79.769997,1671000,79.769997
2017-04-12,82.139999,82.459999,80.769997,81.18,1651800,81.18
2017-04-11,80.639999,81.93,80.040001,81.849998,2662400,81.849998
2017-04-10,80.389999,81.650002,80.019997,80.93,2406100,80.93
2017-04-07,79.110001,80.980003,78.910004,80.169998,2441800,80.169998
2017-04-06,79.220001,80.169998,78.800003,79.32,2316400,79.32
2017-04-05,80.389999,81.540001,78.769997,78.830002,2221600,78.830002
2017-04-04,80.760002,80.919998,79.349998,79.889999,2186100,79.889999
2017-04-03,81.330002,81.389999,79.529999,80.50,2372700,80.50
2017-03-31,81.059998,81.68,80.650002,81.059998,3172300,81.059998
2017-03-30,83.470001,83.480003,80.599998,80.639999,8964800,80.639999
2017-03-29,81.470001,83.199997,81.150002,83.029999,1386400,83.029999
2017-03-28,81.400002,82.160004,80.779999,81.629997,1687600,81.629997
2017-03-27,79.830002,81.720001,79.669998,81.440002,1644200,81.440002
