Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,21.00,21.01,20.459999,20.58,3999800,20.58
2017-05-11,21.58,21.58,20.450001,20.99,7554900,20.99
2017-05-10,21.40,21.610001,21.110001,21.18,4504500,21.18
2017-05-09,20.530001,21.48,20.530001,21.389999,5627100,21.389999
2017-05-08,20.57,20.700001,20.33,20.530001,3408700,20.530001
2017-05-05,20.469999,20.67,20.34,20.59,2739800,20.59
2017-05-04,20.33,20.48,20.15,20.42,3457000,20.42
2017-05-03,21.049999,21.049999,20.32,20.34,4838600,20.34
2017-05-02,21.35,21.370001,20.780001,21.049999,4951500,21.049999
2017-05-01,21.52,21.52,20.76,21.17,9146500,21.17
2017-04-28,21.83,21.870001,21.09,21.49,9469300,21.49
2017-04-27,20.719999,22.120001,20.629999,21.67,21365000,21.67
2017-04-26,19.50,19.82,19.33,19.709999,9998600,19.709999
2017-04-25,19.41,19.75,19.26,19.530001,5135300,19.530001
2017-04-24,19.15,19.50,18.98,19.440001,5338100,19.440001
2017-04-21,19.41,19.49,18.93,18.99,6303600,18.99
2017-04-20,19.25,19.469999,19.01,19.389999,3900900,19.389999
2017-04-19,19.129999,19.379999,18.90,19.190001,3764100,19.190001
2017-04-18,19.08,19.18,18.940001,19.10,3585300,19.10
2017-04-17,19.26,19.290001,18.809999,19.209999,4593900,19.209999
2017-04-13,19.280001,19.35,19.18,19.26,3908900,19.26
2017-04-12,19.25,19.48,19.09,19.280001,4000100,19.280001
2017-04-11,19.66,19.68,19.219999,19.42,4434600,19.42
2017-04-10,19.799999,20.00,19.549999,19.73,3947300,19.73
2017-04-07,20.110001,20.24,19.77,19.860001,4321000,19.860001
2017-04-06,19.82,20.549999,19.68,20.27,5583400,20.27
2017-04-05,19.51,20.280001,19.33,19.620001,6634600,19.620001
2017-04-04,19.540001,19.549999,19.02,19.309999,6196000,19.309999
2017-04-03,19.969999,20.08,19.200001,19.65,8676900,19.65
2017-03-31,20.09,20.219999,19.780001,19.780001,4047500,19.780001
2017-03-30,20.35,20.41,19.959999,20.09,4963900,20.09
2017-03-29,19.870001,20.790001,19.82,20.620001,6652000,20.620001
2017-03-28,19.959999,20.030001,19.700001,19.91,3857000,19.91
2017-03-27,19.49,19.959999,19.40,19.860001,3537500,19.860001
2017-03-24,19.620001,20.030001,19.43,19.66,8611400,19.66
