Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,109.650002,110.790001,109.650002,110.480003,3539300,110.480003
2017-05-11,108.989998,110.620003,108.739998,110.099998,3765300,110.099998
2017-05-10,110.120003,110.120003,108.970001,109.32,3525900,109.32
2017-05-09,109.860001,110.620003,109.519997,109.959999,2262000,109.959999
2017-05-08,110.389999,110.790001,109.75,110.019997,3383800,110.019997
2017-05-05,110.589996,110.75,110.120003,110.720001,2982000,110.720001
2017-05-04,111.209999,111.599998,110.120003,110.330002,2586800,110.330002
2017-05-03,110.660004,111.209999,110.339996,110.879997,2670800,110.879997
2017-05-02,111.75,112.279999,110.940002,111.089996,3786300,111.089996
2017-05-01,112.43,112.68,111.599998,111.599998,2878700,111.599998
2017-04-28,113.529999,113.949997,111.309998,111.959999,3545300,111.959999
2017-04-27,112.019997,115.150002,111.889999,113.529999,5007500,113.529999
2017-04-26,110.550003,111.959999,109.830002,110.169998,6224900,110.169998
2017-04-25,109.330002,110.760002,109.059998,110.480003,3932300,110.480003
2017-04-24,109.50,109.980003,109.160004,109.330002,3121900,109.330002
2017-04-21,108.199997,108.779999,107.629997,108.279999,3120900,108.279999
2017-04-20,108.169998,109.349998,107.870003,107.900002,4184200,107.900002
2017-04-19,106.790001,107.779999,106.269997,106.790001,3326600,106.790001
2017-04-18,105.480003,106.68,105.190002,106.239998,2757000,106.239998
2017-04-17,104.900002,106.010002,104.120003,105.980003,2729300,105.980003
2017-04-13,105.50,106.07,104.779999,104.779999,2362900,104.779999
2017-04-12,108.080002,108.129997,105.480003,105.57,3015400,105.57
2017-04-11,107.209999,107.769997,106.260002,107.610001,2279900,107.610001
2017-04-10,107.57,108.389999,107.449997,107.620003,2555500,107.620003
2017-04-07,107.330002,107.779999,106.57,107.029999,2183300,107.029999
2017-04-06,104.790001,107.389999,104.769997,107.07,4547900,107.07
2017-04-05,107.949997,109.540001,106.57,106.760002,2884700,106.760002
2017-04-04,105.709999,107.239998,105.129997,107.199997,3436200,107.199997
2017-04-03,106.160004,106.779999,105.080002,105.50,2877600,105.50
2017-03-31,106.980003,107.089996,105.900002,105.919998,2886400,105.919998
2017-03-30,105.739998,107.459999,105.32,106.940002,2921400,106.940002
2017-03-29,104.809998,106.169998,104.410004,105.580002,2826400,105.580002
2017-03-28,104.050003,105.889999,103.830002,105.50,4221100,105.50
2017-03-27,102.900002,104.519997,102.410004,104.019997,3793600,104.019997
2017-03-24,103.989998,104.610001,103.440002,103.959999,2685400,103.959999
2017-03-23,103.989998,105.139999,103.599998,103.870003,2574300,103.870003
2017-03-22,103.550003,104.50,103.07,104.059998,4083900,104.059998
2017-03-21,105.440002,105.610001,103.199997,103.650002,3795400,103.650002
2017-03-20,105.75,105.980003,105.00,105.080002,3371900,105.080002
2017-03-17,105.43,106.050003,105.099998,105.989998,11365000,105.989998
2017-03-16,105.50,106.32,105.00,105.449997,3637700,105.449997
2017-03-15,104.589996,106.139999,104.099998,105.580002,3449200,105.580002
2017-03-14,105.949997,106.279999,104.32,104.370003,4235000,104.370003
2017-03-13,106.360001,106.790001,105.949997,106.449997,3462700,106.449997
2017-03-10,106.889999,106.989998,105.720001,106.279999,3308200,106.279999
2017-03-09,106.809998,107.139999,105.739998,106.18,4098700,106.18
2017-03-08,108.360001,108.459999,106.410004,106.709999,3454900,106.709999
2017-03-07,109.099998,109.519997,108.160004,108.360001,3181600,108.360001
2017-03-06,108.760002,109.639999,108.50,109.43,2980700,109.43
2017-03-03,109.080002,109.279999,108.239998,109.019997,2304900,109.019997
2017-03-02,110.050003,110.239998,108.910004,109.050003,2739700,109.050003
2017-03-01,109.040001,110.650002,109.040001,110.110001,4064900,110.110001
2017-02-28,107.529999,108.080002,107.089996,107.940002,3756600,107.940002
2017-02-27,107.82,108.00,106.480003,107.50,3288500,107.50
2017-02-24,105.610001,107.760002,105.169998,107.739998,4632500,107.739998
2017-02-23,109.139999,109.50,106.260002,106.699997,4876600,106.094994
2017-02-22,109.18,109.440002,107.949997,108.870003,4206100,108.252696
2017-02-21,110.00,110.82,109.349998,109.669998,4169800,109.048155
2017-02-17,109.43,109.82,107.959999,109.82,4246300,109.197306
2017-02-16,109.480003,110.00,108.50,109.389999,2811100,108.769744
2017-02-15,108.529999,109.989998,108.169998,109.779999,3352900,109.157532
2017-02-14,108.07,109.160004,107.739998,109.160004,2890300,108.541052
2017-02-13,108.089996,109.300003,107.889999,108.32,2640000,107.705811
2017-02-10,107.879997,108.489998,107.709999,107.870003,2778000,107.258366
2017-02-09,107.339996,107.879997,107.120003,107.419998,3603900,106.810913
2017-02-08,107.519997,107.93,106.269997,107.339996,3901400,106.731365
2017-02-07,108.190002,108.760002,107.349998,107.650002,3493400,107.039612
2017-02-06,108.360001,108.690002,107.580002,107.690002,2858100,107.079386
2017-02-03,107.480003,108.839996,107.349998,108.510002,3249600,107.894736
2017-02-02,107.199997,107.580002,105.900002,107.300003,4225900,106.691598
2017-02-01,107.040001,108.07,106.400002,107.699997,4374500,107.089324
2017-01-31,108.129997,108.580002,106.220001,106.580002,4534600,105.975679
2017-01-30,108.940002,108.959999,106.339996,108.00,5334200,107.387626
2017-01-27,110.349998,110.360001,108.139999,109.199997,3555400,108.580819
2017-01-26,110.25,111.379997,109.480003,110.150002,4607200,109.525437
2017-01-25,109.290001,111.00,109.010002,110.419998,5137900,109.793902
2017-01-24,108.150002,109.25,107.599998,108.720001,4564900,108.103545
2017-01-23,108.639999,108.639999,106.93,107.989998,3932200,107.377681
2017-01-20,106.830002,108.639999,106.610001,108.599998,6440000,107.984222
2017-01-19,108.209999,108.980003,105.440002,106.239998,10103900,105.637603
2017-01-18,102.260002,104.370003,101.529999,103.769997,5363900,103.181607
2017-01-17,104.699997,104.82,102.849998,103.370003,3401800,102.783881
2017-01-13,104.510002,105.449997,104.279999,105.25,2743400,104.653219
2017-01-12,104.269997,104.959999,103.349998,104.699997,2397000,104.106334
2017-01-11,103.349998,104.830002,103.029999,104.269997,2864800,103.678772
2017-01-10,102.559998,104.239998,101.910004,103.419998,3562700,102.833593
2017-01-09,103.730003,103.739998,101.900002,102.419998,2968600,101.839263
2017-01-06,102.029999,103.769997,101.199997,103.190002,3862400,102.604902
2017-01-05,103.029999,103.360001,101.220001,102.129997,4180400,101.550907
2017-01-04,102.889999,104.309998,102.510002,103.139999,3668300,102.555182
2017-01-03,104.480003,105.290001,102.07,102.519997,3824300,101.938695
2016-12-30,104.18,104.839996,103.25,103.68,2914700,103.092121
2016-12-29,104.879997,105.25,103.989998,104.419998,2122900,103.827923
2016-12-28,105.75,106.32,104.589996,104.760002,1799000,104.165999
2016-12-27,105.510002,105.93,105.209999,105.709999,1518200,105.11061
2016-12-23,105.230003,105.269997,104.32,105.18,2146200,104.583616
2016-12-22,104.120003,105.279999,103.370003,105.190002,2994800,104.593561
2016-12-21,104.699997,105.550003,104.050003,104.650002,2210900,104.056622
2016-12-20,103.809998,104.769997,103.540001,104.650002,3026700,104.056622
2016-12-19,103.080002,103.889999,102.629997,103.400002,2859400,102.81371
2016-12-16,104.739998,104.970001,103.050003,103.309998,6610300,102.724216
2016-12-15,102.980003,104.940002,102.510002,104.68,4479800,104.086451
2016-12-14,104.25,104.830002,102.669998,102.82,3549600,102.236997
2016-12-13,104.589996,104.739998,103.120003,104.040001,4144300,103.450081
2016-12-12,105.330002,105.330002,102.910004,104.32,4136500,103.728492
2016-12-09,104.889999,105.480003,104.029999,104.989998,4098800,104.394691
2016-12-08,106.32,106.620003,104.739998,105.370003,3862000,104.772541
2016-12-07,103.489998,106.50,102.720001,106.330002,4936100,105.727097
2016-12-06,103.00,103.309998,102.300003,103.150002,3228400,102.565128
2016-12-05,103.32,103.75,102.809998,102.839996,3459300,102.25688
2016-12-02,103.379997,103.599998,102.019997,102.650002,3511000,102.067963
2016-12-01,101.839996,103.959999,101.610001,103.389999,4748200,102.803765
2016-11-30,101.360001,102.730003,101.260002,101.330002,6190700,100.755448
2016-11-29,100.529999,101.050003,100.099998,100.57,2945900,99.999755
2016-11-28,101.32,101.389999,100.43,100.690002,3533800,100.119077
2016-11-25,101.449997,102.160004,101.129997,102.099998,1680900,100.919513
2016-11-23,100.709999,101.699997,100.660004,101.389999,3154300,100.217723
2016-11-22,101.099998,101.220001,100.389999,100.489998,3350900,99.328128
2016-11-21,100.099998,101.629997,100.00,100.75,3385300,99.585124
2016-11-18,98.93,100.00,98.599998,99.830002,3653400,98.675762
2016-11-17,97.720001,98.940002,97.480003,98.809998,4379500,97.667551
2016-11-16,98.379997,99.059998,97.720001,98.010002,2866100,96.876806
2016-11-15,99.18,99.540001,97.919998,99.110001,4263200,97.964086
2016-11-14,97.519997,100.629997,97.510002,99.43,6617000,98.280386
2016-11-11,97.050003,97.699997,95.669998,96.879997,6664200,95.759866
2016-11-10,95.129997,98.790001,95.029999,97.489998,8952900,96.362814
2016-11-09,87.879997,94.959999,87.879997,93.949997,9655200,92.863742
2016-11-08,90.790001,90.959999,89.720001,90.599998,4268500,89.552477
2016-11-07,90.00,90.879997,89.849998,90.75,4556500,89.700744
2016-11-04,88.699997,89.480003,88.379997,88.760002,3745700,87.733755
2016-11-03,88.68,89.639999,88.25,88.769997,4468600,87.743634
2016-11-02,88.080002,89.309998,87.739998,88.690002,4437400,87.664564
2016-11-01,88.650002,88.889999,87.059998,87.889999,3980500,86.873811
2016-10-31,88.75,89.07,88.110001,88.18,3681200,87.160459
2016-10-28,88.940002,89.32,87.790001,88.370003,3784400,87.348264
