Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,65.129997,65.690002,64.970001,65.669998,1958800,65.669998
2017-05-11,63.68,65.050003,63.360001,64.970001,2067700,64.970001
2017-05-10,62.630001,64.169998,62.59,64.019997,1937600,64.019997
2017-05-09,63.450001,63.52,62.25,62.630001,1677900,62.630001
2017-05-08,63.93,63.950001,63.32,63.529999,1973700,63.529999
2017-05-05,62.77,63.759998,62.73,63.75,1439300,63.75
2017-05-04,62.50,62.740002,61.490002,62.650002,2149300,62.650002
2017-05-03,63.830002,63.93,62.450001,62.790001,2122300,62.790001
2017-05-02,63.990002,64.18,63.459999,63.669998,1682400,63.669998
2017-05-01,64.230003,64.559998,63.540001,63.970001,1696600,63.970001
2017-04-28,64.139999,64.769997,62.830002,64.010002,2498400,64.010002
2017-04-27,64.010002,64.760002,63.939999,64.120003,1330200,64.120003
2017-04-26,64.57,64.629997,63.990002,64.010002,1848700,64.010002
2017-04-25,64.75,64.949997,64.419998,64.68,1889400,64.68
2017-04-24,66.120003,66.199997,63.669998,64.629997,2752600,64.629997
2017-04-21,65.82,66.290001,65.75,65.779999,1646100,65.779999
2017-04-20,66.370003,66.400002,65.629997,65.949997,2677100,65.949997
2017-04-19,66.739998,66.889999,66.089996,66.410004,2289800,66.410004
2017-04-18,65.839996,66.949997,65.669998,66.790001,2227100,66.790001
2017-04-17,65.32,65.839996,65.099998,65.839996,1274000,65.839996
2017-04-13,65.43,65.800003,64.989998,65.059998,1107400,65.059998
2017-04-12,65.470001,65.790001,65.220001,65.639999,1162900,65.639999
2017-04-11,65.209999,65.639999,64.949997,65.470001,1228400,65.470001
2017-04-10,64.919998,65.279999,64.699997,65.160004,1607300,65.160004
2017-04-07,64.660004,65.379997,64.660004,64.870003,2199200,64.870003
2017-04-06,64.559998,64.919998,64.099998,64.709999,1602500,64.709999
2017-04-05,64.300003,65.07,64.099998,64.580002,1452300,64.580002
2017-04-04,65.040001,65.230003,64.169998,64.190002,2206700,64.190002
2017-04-03,65.07,65.18,64.639999,65.099998,1529600,65.099998
2017-03-31,64.32,65.110001,63.889999,65.040001,2525200,65.040001
2017-03-30,64.440002,64.599998,63.84,64.50,2210900,64.50
2017-03-29,64.559998,64.830002,64.349998,64.660004,1735500,64.660004
2017-03-28,64.080002,64.809998,63.84,64.690002,2964100,64.690002
2017-03-27,63.84,64.610001,63.799999,64.080002,2372300,64.080002
2017-03-24,63.299999,63.939999,63.049999,63.830002,2814800,63.830002
2017-03-23,62.349998,63.669998,62.25,63.209999,3439300,63.209999
2017-03-22,61.060001,62.68,61.009998,62.450001,3781700,62.450001
2017-03-21,60.689999,61.049999,60.439999,60.77,2498400,60.77
2017-03-20,60.68,61.189999,60.450001,60.529999,1220000,60.529999
2017-03-17,60.490002,61.209999,60.200001,60.509998,2352100,60.509998
2017-03-16,60.130001,60.66,59.950001,60.459999,1261600,60.459999
2017-03-15,59.029999,60.549999,58.959999,60.200001,2835900,60.200001
2017-03-14,59.630001,59.77,59.049999,59.360001,2157600,59.360001
2017-03-13,60.630001,60.93,59.43,59.73,2364400,59.73
2017-03-10,60.07,60.990002,59.880001,60.50,1929700,60.50
2017-03-09,61.169998,61.360001,59.869999,60.07,2686700,60.07
2017-03-08,62.349998,62.50,61.029999,61.110001,1654100,61.110001
2017-03-07,62.669998,62.799999,62.23,62.669998,1733800,62.669998
2017-03-06,63.360001,63.490002,62.610001,62.709999,1823600,62.709999
2017-03-03,63.799999,63.799999,62.790001,63.66,1570700,63.66
2017-03-02,64.209999,64.940002,63.540001,64.900002,2746700,64.125003
2017-03-01,64.620003,64.900002,63.900002,64.209999,2111500,63.44324
2017-02-28,65.410004,65.68,64.940002,65.050003,2108900,64.273213
2017-02-27,65.019997,65.889999,64.949997,65.410004,1748100,64.628914
2017-02-24,63.57,65.00,63.110001,64.980003,2316500,64.204049
2017-02-23,63.169998,63.689999,62.990002,63.50,2186100,62.741719
2017-02-22,63.009998,63.799999,62.48,62.720001,1975000,61.971035
2017-02-21,62.25,62.990002,61.790001,62.799999,1925900,62.050077
2017-02-17,62.700001,62.779999,61.610001,62.16,2153100,61.41772
2017-02-16,61.970001,63.00,61.830002,62.57,1721800,61.822824
2017-02-15,61.41,61.869999,60.799999,61.68,1263500,60.943453
2017-02-14,62.799999,62.799999,61.50,61.639999,1668800,60.903929
2017-02-13,61.860001,62.900002,61.66,62.799999,1700900,62.050077
2017-02-10,61.799999,62.049999,61.040001,61.77,2049900,61.032378
2017-02-09,62.25,62.43,61.50,61.799999,2206900,61.062019
2017-02-08,62.060001,62.450001,61.810001,62.25,1343400,61.506646
2017-02-07,61.990002,62.27,61.650002,61.810001,1552600,61.071901
2017-02-06,61.639999,62.049999,61.34,61.990002,1094000,61.249752
2017-02-03,62.220001,62.41,61.419998,61.650002,2007600,60.913812
2017-02-02,60.650002,61.939999,60.599998,61.720001,1682000,60.982976
2017-02-01,61.610001,61.98,60.599998,60.639999,1316400,59.915871
2017-01-31,61.470001,62.380001,61.439999,61.669998,2535200,60.93357
2017-01-30,61.18,61.669998,60.560001,61.43,1536200,60.696438
2017-01-27,61.25,61.540001,60.810001,61.080002,1371200,60.350619
2017-01-26,61.290001,61.630001,60.91,60.970001,1023400,60.241932
2017-01-25,61.869999,62.389999,61.110001,61.27,1183400,60.538349
2017-01-24,61.93,62.48,61.689999,61.990002,1765300,61.249752
2017-01-23,61.91,62.240002,61.610001,61.93,1856000,61.190467
2017-01-20,61.389999,62.110001,61.240002,61.900002,1415500,61.160827
2017-01-19,61.91,62.00,61.029999,61.299999,1310200,60.567989
2017-01-18,62.07,62.720001,62.049999,62.220001,1747900,61.477005
2017-01-17,61.889999,62.57,61.52,62.029999,1500600,61.289272
2017-01-13,61.360001,61.689999,61.130001,61.599998,1391500,60.864406
2017-01-12,61.32,61.650002,60.50,61.48,1691600,60.74584
2017-01-11,61.32,62.060001,60.889999,61.419998,1879400,60.686555
2017-01-10,62.779999,62.779999,60.810001,61.16,2859900,60.429662
2017-01-09,63.240002,63.700001,62.799999,63.450001,1522600,62.692317
2017-01-06,63.060001,63.369999,62.82,63.049999,1934300,62.297092
2017-01-05,62.369999,63.470001,61.779999,63.169998,2516700,62.415658
2017-01-04,62.169998,62.720001,62.150002,62.610001,2172900,61.862347
2017-01-03,62.290001,62.330002,61.529999,62.130001,2400000,61.38808
2016-12-30,61.869999,62.689999,61.77,62.52,1742000,61.773422
