Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,49.75,49.75,49.439999,49.650002,6154800,49.650002
2017-05-11,49.450001,49.709999,49.139999,49.689999,6138900,49.689999
2017-05-10,49.400002,49.599998,49.139999,49.400002,8357300,49.400002
2017-05-09,49.139999,49.669998,48.939999,49.490002,10269800,49.490002
2017-05-08,48.709999,48.959999,48.509998,48.849998,9568300,48.849998
2017-05-05,48.450001,48.66,48.27,48.490002,4707200,48.490002
2017-05-04,48.630001,48.68,48.16,48.450001,6208900,48.450001
2017-05-03,49.189999,49.189999,48.169998,48.540001,4695800,48.540001
2017-05-02,48.720001,49.299999,48.720001,49.09,6065200,49.09
2017-05-01,48.220001,48.779999,48.119999,48.610001,6383500,48.610001
2017-04-28,48.450001,48.50,48.16,48.209999,4925400,48.209999
2017-04-27,48.080002,48.470001,48.02,48.360001,10633400,48.360001
2017-04-26,48.400002,48.470001,48.169998,48.259998,4023300,48.259998
2017-04-25,48.290001,48.459999,48.16,48.400002,10171400,48.400002
2017-04-24,47.889999,48.200001,47.75,48.150002,9852400,48.150002
2017-04-21,47.73,47.77,47.369999,47.52,7046500,47.52
2017-04-20,47.25,47.84,47.07,47.669998,10818100,47.669998
2017-04-19,47.599998,47.880001,46.93,47.00,12166800,47.00
2017-04-18,47.25,47.75,47.139999,47.560001,9319400,47.560001
2017-04-17,47.02,47.419998,46.919998,47.389999,3840500,47.389999
2017-04-13,46.849998,47.110001,46.610001,46.900002,3747700,46.900002
2017-04-12,46.799999,47.16,46.669998,46.830002,4329400,46.830002
2017-04-11,47.029999,47.209999,46.419998,46.790001,5588300,46.790001
2017-04-10,46.490002,47.419998,46.400002,47.209999,7737700,47.209999
2017-04-07,46.23,46.529999,45.959999,46.439999,4559000,46.439999
2017-04-06,46.380001,46.43,46.040001,46.279999,4114100,46.279999
2017-04-05,46.41,46.919998,46.240002,46.380001,4832000,46.380001
2017-04-04,46.299999,46.470001,46.119999,46.23,4505200,46.23
2017-04-03,46.50,46.849998,46.16,46.43,7665600,46.43
2017-03-31,46.52,46.700001,46.27,46.41,7781500,46.41
2017-03-30,46.799999,47.049999,46.599998,46.619999,3448600,46.619999
2017-03-29,46.52,46.84,46.299999,46.779999,4394300,46.779999
2017-03-28,46.330002,46.759998,46.240002,46.57,4598700,46.57
2017-03-27,45.919998,46.48,45.740002,46.400002,5995400,46.400002
2017-03-24,46.650002,46.869999,46.139999,46.400002,5574400,46.400002
2017-03-23,46.130001,46.779999,46.09,46.599998,8253800,46.599998
2017-03-22,45.610001,46.139999,45.599998,46.060001,6668600,46.060001
2017-03-21,47.00,47.189999,45.68,45.77,6188400,45.77
2017-03-20,46.619999,47.16,46.52,46.77,5698100,46.77
2017-03-17,46.73,46.900002,46.50,46.59,5845500,46.59
2017-03-16,46.599998,46.619999,46.299999,46.610001,3568500,46.610001
2017-03-15,46.549999,46.549999,45.900002,46.290001,6277700,46.290001
2017-03-14,46.41,46.759998,46.189999,46.369999,3799800,46.369999
2017-03-13,46.099998,47.00,46.099998,46.57,4702300,46.57
2017-03-10,46.200001,46.200001,45.75,45.98,3823900,45.98
2017-03-09,45.869999,46.119999,45.68,45.939999,3761800,45.939999
2017-03-08,45.849998,46.189999,45.73,45.98,3311700,45.98
2017-03-07,45.50,45.919998,45.490002,45.73,5111000,45.73
2017-03-06,45.610001,45.689999,45.389999,45.639999,5694800,45.639999
2017-03-03,45.880001,46.00,45.599998,45.91,6758300,45.91
2017-03-02,46.02,46.130001,45.619999,45.939999,7007200,45.939999
2017-03-01,45.889999,46.41,45.889999,46.240002,7232800,46.240002
2017-02-28,45.57,45.75,45.25,45.66,6526400,45.66
2017-02-27,45.450001,45.740002,45.240002,45.709999,4006700,45.709999
2017-02-24,45.139999,45.549999,44.950001,45.549999,3705600,45.549999
2017-02-23,46.040001,46.139999,45.290001,45.41,7807600,45.41
2017-02-22,45.470001,46.349998,45.450001,45.98,7701800,45.98
2017-02-21,45.220001,45.610001,45.099998,45.50,8007200,45.50
2017-02-17,44.950001,45.34,44.790001,45.099998,9416300,45.099998
2017-02-16,45.650002,45.689999,45.009998,45.16,8972000,45.16
2017-02-15,45.029999,46.720001,44.639999,45.650002,22198400,45.650002
2017-02-14,45.380001,45.580002,44.900002,45.02,6666700,45.02
2017-02-13,45.080002,45.57,44.939999,45.459999,7488900,45.459999
2017-02-10,45.150002,45.23,44.959999,45.029999,4157400,45.029999
2017-02-09,44.950001,45.240002,44.82,45.080002,3759100,45.080002
2017-02-08,44.50,45.189999,44.34,45.07,6520500,45.07
2017-02-07,44.43,44.59,44.189999,44.369999,4441500,44.369999
2017-02-06,43.619999,44.529999,43.560001,44.419998,7283300,44.419998
2017-02-03,43.900002,43.990002,43.66,43.709999,4922100,43.709999
2017-02-02,43.630001,44.00,43.580002,43.689999,5064400,43.689999
2017-02-01,44.25,44.259998,43.709999,43.779999,5306400,43.779999
2017-01-31,43.779999,44.150002,43.669998,44.07,5153500,44.07
2017-01-30,44.220001,44.220001,43.709999,43.93,6903900,43.93
2017-01-27,44.540001,44.709999,44.23,44.419998,4942800,44.419998
2017-01-26,44.830002,45.080002,44.400002,44.549999,9972700,44.549999
2017-01-25,44.110001,45.00,44.09,44.939999,11082400,44.939999
2017-01-24,43.650002,44.220001,43.43,43.900002,24928500,43.900002
2017-01-23,41.950001,42.450001,41.84,42.400002,13161100,42.400002
2017-01-20,42.330002,42.540001,41.869999,42.049999,5449300,42.049999
2017-01-19,42.049999,42.189999,41.900002,42.09,5959600,42.09
2017-01-18,42.150002,42.150002,41.799999,42.029999,3594200,42.029999
2017-01-17,42.060001,42.18,41.84,41.990002,4775800,41.990002
2017-01-13,42.110001,42.459999,42.02,42.27,4132100,42.27
2017-01-12,42.34,42.459999,41.700001,42.110001,6023700,42.110001
2017-01-11,42.27,42.59,42.07,42.59,6943900,42.59
2017-01-10,41.889999,42.369999,41.540001,42.299999,8110900,42.299999
2017-01-09,41.169998,41.66,41.130001,41.34,7796300,41.34
2017-01-06,41.25,41.34,40.849998,41.23,6085800,41.23
2017-01-05,40.310001,41.369999,40.240002,41.34,13118500,41.34
2017-01-04,39.00,40.25,38.919998,40.060001,11724500,40.060001
2017-01-03,39.110001,39.18,38.639999,38.900002,6082600,38.900002
2016-12-30,38.720001,39.00,38.43,38.669998,6431600,38.669998
2016-12-29,38.759998,38.93,38.48,38.639999,4170200,38.639999
2016-12-28,39.119999,39.220001,38.709999,38.73,4393500,38.73
2016-12-27,38.59,39.07,38.50,38.919998,4240300,38.919998
2016-12-23,38.459999,38.810001,38.369999,38.66,3840100,38.66
2016-12-22,38.689999,38.790001,38.259998,38.50,11685600,38.50
2016-12-21,39.080002,39.32,38.970001,39.150002,8263600,39.150002
2016-12-20,38.400002,39.18,38.240002,39.16,15007900,39.16
2016-12-19,38.66,38.790001,38.27,38.419998,13607200,38.419998
2016-12-16,38.619999,39.220001,38.419998,38.610001,21447400,38.610001
2016-12-15,40.00,40.00,38.25,38.41,43656200,38.41
2016-12-14,41.439999,41.529999,40.830002,40.91,19296600,40.91
2016-12-13,41.349998,41.790001,41.139999,41.470001,6500400,41.470001
2016-12-12,41.450001,41.529999,41.130001,41.299999,4451500,41.299999
2016-12-09,41.52,41.799999,41.439999,41.759998,6836000,41.759998
2016-12-08,40.66,41.599998,40.419998,41.41,9169400,41.41
2016-12-07,39.98,40.57,39.75,40.52,7199000,40.52
2016-12-06,40.310001,40.419998,39.880001,39.970001,6943800,39.970001
2016-12-05,40.02,40.389999,39.849998,40.200001,4401700,40.200001
2016-12-02,39.77,40.32,39.580002,40.07,8568100,40.07
2016-12-01,41.00,41.040001,39.529999,39.630001,12614600,39.630001
2016-11-30,41.619999,41.669998,40.880001,41.02,7624500,41.02
2016-11-29,41.43,41.830002,41.119999,41.599998,7246100,41.599998
2016-11-28,40.849998,41.700001,40.740002,41.450001,6765800,41.450001
2016-11-25,41.080002,41.080002,40.709999,40.869999,2586900,40.869999
2016-11-23,40.91,40.98,40.549999,40.959999,3634900,40.959999
2016-11-22,41.200001,41.400002,40.830002,41.009998,8881200,41.009998
2016-11-21,41.439999,41.48,40.939999,41.110001,11338000,41.110001
2016-11-18,41.48,41.650002,40.900002,41.189999,8129700,41.189999
2016-11-17,41.34,41.650002,41.200001,41.450001,8689300,41.450001
2016-11-16,40.099998,41.049999,40.099998,40.98,15592700,40.98
2016-11-15,39.610001,40.450001,39.580002,40.209999,10851400,40.209999
2016-11-14,40.360001,40.389999,38.869999,39.299999,12687400,39.299999
2016-11-11,39.84,40.52,39.369999,40.419998,15178200,40.419998
2016-11-10,41.549999,41.650002,39.540001,40.16,16441900,40.16
2016-11-09,40.439999,41.389999,40.220001,41.209999,23998600,41.209999
2016-11-08,40.970001,41.279999,40.68,41.16,4227100,41.16
2016-11-07,41.169998,41.23,40.860001,41.049999,5388700,41.049999
2016-11-04,39.959999,40.669998,39.799999,40.279999,4574200,40.279999
2016-11-03,40.619999,40.75,40.169998,40.23,7811600,40.23
2016-11-02,41.799999,42.16,40.360001,40.68,13017500,40.68
2016-11-01,41.130001,41.34,40.689999,41.330002,11748900,41.330002
2016-10-31,42.029999,42.16,41.549999,41.549999,3730800,41.549999
2016-10-28,42.029999,42.220001,41.709999,41.779999,6180200,41.779999
2016-10-27,42.310001,42.490002,41.810001,41.869999,7236500,41.869999
2016-10-26,42.259998,42.439999,41.950001,42.080002,6117200,42.080002
2016-10-25,42.720001,42.75,42.43,42.549999,5338900,42.549999
2016-10-24,42.50,42.68,42.380001,42.59,4346900,42.59
2016-10-21,42.099998,42.200001,41.73,42.169998,7194200,42.169998
2016-10-20,42.689999,42.689999,42.07,42.380001,11671000,42.380001
2016-10-19,42.299999,42.939999,42.259998,42.73,14532500,42.73
2016-10-18,42.040001,42.610001,41.630001,41.68,19360800,41.68
2016-10-17,41.349998,41.939999,41.240002,41.790001,8620400,41.790001
2016-10-14,42.040001,42.25,41.41,41.439999,7781300,41.439999
2016-10-13,42.00,42.080002,41.169998,41.619999,15689700,41.619999
2016-10-12,42.599998,42.779999,42.049999,42.360001,7290500,42.360001
2016-10-11,43.869999,44.080002,42.490002,42.68,9513300,42.68
2016-10-10,43.360001,44.07,43.25,43.919998,6573600,43.919998
2016-10-07,43.259998,43.68,43.119999,43.220001,8502100,43.220001
2016-10-06,43.639999,43.82,43.369999,43.68,6293900,43.68
2016-10-05,43.23,43.869999,43.220001,43.709999,6117900,43.709999
2016-10-04,43.200001,43.50,42.959999,43.18,8998400,43.18
2016-10-03,42.950001,43.18,42.82,43.130001,7965900,43.130001
2016-09-30,42.740002,43.25,42.720001,43.099998,10374800,43.099998
2016-09-29,43.169998,43.299999,42.43,42.57,13720700,42.57
2016-09-28,43.400002,43.720001,43.25,43.689999,7419000,43.689999
2016-09-27,42.43,43.41,42.32,43.369999,8765000,43.369999
2016-09-26,42.380001,42.740002,41.849998,42.290001,12745100,42.290001
2016-09-23,43.50,43.759998,42.540001,42.799999,31888500,42.799999
2016-09-22,43.939999,44.869999,43.740002,44.150002,33355600,44.150002
2016-09-21,42.889999,44.220001,42.889999,44.139999,12313700,44.139999
2016-09-20,43.240002,43.389999,42.66,42.790001,9788900,42.790001
2016-09-19,43.919998,43.950001,43.00,43.189999,7887400,43.189999
2016-09-16,43.939999,44.02,43.470001,43.669998,19093900,43.669998
2016-09-15,43.41,44.049999,43.220001,43.990002,12533900,43.990002
2016-09-14,42.91,43.619999,42.860001,43.459999,11617300,43.459999
2016-09-13,43.189999,43.52,42.689999,43.040001,10132000,43.040001
2016-09-12,42.279999,43.650002,42.18,43.459999,10808800,43.459999
2016-09-09,43.919998,44.150002,42.82,42.919998,12060700,42.919998
2016-09-08,44.07,44.720001,44.029999,44.360001,7882600,44.360001
2016-09-07,44.549999,44.919998,44.189999,44.349998,9109400,44.349998
2016-09-06,43.50,44.849998,43.50,44.709999,18125800,44.709999
2016-09-02,43.27,43.599998,43.080002,43.279999,7339000,43.279999
2016-09-01,42.779999,43.099998,42.720001,42.93,5575300,42.93
2016-08-31,42.459999,42.799999,42.459999,42.75,7715900,42.75
2016-08-30,42.279999,42.740002,42.279999,42.580002,5804100,42.580002
2016-08-29,42.200001,42.459999,42.080002,42.259998,4555600,42.259998
2016-08-26,42.150002,42.610001,41.939999,42.27,6328000,42.27
2016-08-25,41.830002,42.240002,41.73,42.029999,5360900,42.029999
2016-08-24,42.50,42.77,41.790001,41.91,6930300,41.91
2016-08-23,42.610001,42.91,42.450001,42.599998,8963800,42.599998
2016-08-22,42.84,42.869999,42.330002,42.52,6229400,42.52
2016-08-19,42.799999,43.119999,42.650002,43.02,9460800,43.02
2016-08-18,42.689999,42.970001,42.59,42.900002,11293900,42.900002
2016-08-17,42.389999,42.75,42.389999,42.700001,8571900,42.700001
2016-08-16,42.299999,42.790001,41.950001,42.490002,13793800,42.490002
2016-08-15,43.18,43.290001,42.43,42.669998,14441800,42.669998
2016-08-12,41.279999,42.98,41.279999,42.939999,25182900,42.939999
2016-08-11,41.119999,41.73,40.93,41.27,23938900,41.27
2016-08-10,39.34,39.98,39.299999,39.93,12981600,39.93
2016-08-09,39.240002,39.310001,39.099998,39.240002,5971500,39.240002
2016-08-08,39.00,39.27,38.860001,39.240002,10131300,39.240002
2016-08-05,39.00,39.150002,38.900002,38.990002,9127100,38.990002
2016-08-04,38.470001,39.029999,38.43,38.919998,11000800,38.919998
2016-08-03,38.43,38.549999,38.279999,38.389999,5890100,38.389999
2016-08-02,38.599998,38.669998,38.259998,38.57,7504700,38.57
2016-08-01,38.18,38.889999,38.099998,38.799999,9605000,38.799999
2016-07-29,38.470001,38.52,38.080002,38.189999,13199100,38.189999
2016-07-28,38.580002,38.639999,38.23,38.52,7424400,38.52
2016-07-27,38.66,38.77,38.43,38.66,12148400,38.66
2016-07-26,38.07,38.830002,37.900002,38.759998,15978600,38.759998
2016-07-25,39.200001,39.209999,38.220001,38.32,41814400,38.32
2016-07-22,38.900002,39.419998,38.779999,39.380001,11325700,39.380001
2016-07-21,39.009998,39.25,38.720001,38.849998,7671800,38.849998
2016-07-20,38.360001,38.93,38.259998,38.900002,8178000,38.900002
2016-07-19,37.77,38.490002,37.650002,38.169998,10394000,38.169998
2016-07-18,37.68,37.970001,37.50,37.950001,16046800,37.950001
2016-07-15,38.16,38.189999,37.68,37.720001,13513400,37.720001
2016-07-14,37.849998,38.349998,37.849998,37.959999,10713000,37.959999
2016-07-13,37.990002,38.009998,37.459999,37.639999,9566100,37.639999
2016-07-12,38.00,38.330002,37.869999,37.889999,15224000,37.889999
2016-07-11,37.439999,38.150002,37.369999,37.959999,20342600,37.959999
2016-07-08,37.529999,37.84,37.060001,37.740002,8786600,37.740002
2016-07-07,37.57,37.759998,37.290001,37.52,9031400,37.52
2016-07-06,37.43,37.560001,37.130001,37.509998,8328100,37.509998
2016-07-05,37.68,37.77,37.169998,37.50,8746700,37.50
2016-07-01,37.560001,38.080002,37.43,37.990002,10602800,37.990002
2016-06-30,36.889999,37.580002,36.889999,37.560001,15209900,37.560001
2016-06-29,36.25,37.080002,36.25,36.860001,10808200,36.860001
2016-06-28,35.580002,36.139999,35.50,36.040001,10990700,36.040001
2016-06-27,35.869999,36.009998,35.049999,35.220001,14108600,35.220001
2016-06-24,36.400002,36.950001,36.09,36.240002,19657800,36.240002
2016-06-23,37.639999,37.779999,37.41,37.779999,7710900,37.779999
2016-06-22,37.369999,37.52,37.169998,37.360001,6279200,37.360001
2016-06-21,37.369999,37.549999,37.200001,37.400002,5574600,37.400002
2016-06-20,37.27,37.68,37.240002,37.290001,8957300,37.290001
2016-06-17,37.43,37.439999,36.810001,36.939999,12593900,36.939999
2016-06-16,37.389999,37.450001,36.540001,37.389999,10634000,37.389999
2016-06-15,37.43,37.599998,37.099998,37.32,10213200,37.32
2016-06-14,36.630001,37.439999,36.630001,37.400002,13023100,37.400002
2016-06-13,36.700001,36.91,36.419998,36.470001,6519800,36.470001
2016-06-10,36.970001,37.139999,36.59,36.830002,11216500,36.830002
2016-06-09,36.82,37.73,36.709999,37.349998,14759100,37.349998
2016-06-08,36.84,37.299999,36.84,36.970001,9181900,36.970001
2016-06-07,36.900002,36.990002,36.630001,36.73,14757100,36.73
2016-06-06,36.669998,37.200001,36.52,37.07,8426100,37.07
2016-06-03,37.110001,37.110001,36.50,36.599998,12059100,36.599998
2016-06-02,36.66,37.220001,36.580002,37.150002,12179300,37.150002
2016-06-01,37.25,37.740002,36.560001,36.650002,22177600,36.650002
2016-05-31,37.73,38.080002,37.50,37.939999,12873600,37.939999
2016-05-27,36.880001,37.880001,36.84,37.82,14642500,37.82
2016-05-26,36.130001,36.849998,36.07,36.759998,16285700,36.759998
2016-05-25,36.630001,36.959999,35.470001,35.59,33984900,35.59
2016-05-24,36.849998,37.630001,36.77,37.529999,10623800,37.529999
2016-05-23,36.459999,36.950001,36.43,36.66,7785800,36.66
2016-05-20,36.049999,36.720001,35.880001,36.50,34330700,36.50
2016-05-19,36.939999,37.23,36.669998,37.02,7127500,37.02
