Date,Open,High,Low,Close,Volume,Adj Close
2017-05-12,120.860001,122.93,120.550003,121.260002,2021500,121.260002
2017-05-11,119.830002,121.160004,118.639999,121.019997,2010700,121.019997
2017-05-10,118.489998,119.709999,118.040001,119.489998,1349600,119.489998
2017-05-09,116.849998,118.839996,116.800003,118.660004,1453400,118.660004
2017-05-08,116.610001,117.209999,116.029999,116.910004,1233000,116.910004
2017-05-05,117.459999,117.459999,115.75,116.540001,1353600,116.540001
2017-05-04,119.349998,119.68,116.18,116.849998,2343500,116.849998
2017-05-03,120.459999,120.730003,118.599998,119.43,1082700,119.43
2017-05-02,120.900002,121.25,120.290001,120.629997,1160100,120.629997
2017-05-01,119.690002,121.949997,119.00,120.82,2195700,120.82
2017-04-28,117.75,119.900002,117.029999,119.650002,2360600,119.650002
2017-04-27,115.50,118.50,115.00,118.099998,5906400,118.099998
2017-04-26,124.650002,125.419998,123.970001,125.32,1743600,125.32
2017-04-25,123.400002,124.760002,123.010002,124.489998,1075000,124.489998
2017-04-24,122.470001,123.519997,121.82,123.269997,894800,123.269997
2017-04-21,121.660004,122.07,120.809998,121.190002,813300,121.190002
2017-04-20,120.330002,122.25,119.459999,121.849998,833400,121.849998
2017-04-19,120.199997,120.779999,119.529999,120.260002,797100,120.260002
2017-04-18,120.580002,120.900002,119.169998,119.57,953000,119.57
2017-04-17,120.019997,121.160004,119.739998,121.160004,555700,121.160004
2017-04-13,119.029999,120.230003,118.339996,119.529999,684600,119.529999
2017-04-12,118.910004,119.599998,118.519997,119.169998,654300,119.169998
2017-04-11,119.809998,120.029999,119.25,119.580002,496600,119.580002
2017-04-10,119.980003,120.769997,119.769997,120.029999,457900,120.029999
2017-04-07,120.120003,120.43,119.769997,119.879997,436800,119.879997
2017-04-06,120.419998,120.470001,119.580002,120.199997,885900,120.199997
2017-04-05,120.760002,121.550003,120.050003,120.18,783900,120.18
2017-04-04,121.639999,121.800003,119.709999,120.769997,577000,120.769997
2017-04-03,121.980003,122.279999,120.279999,121.349998,971800,121.349998
2017-03-31,120.790001,122.459999,120.519997,122.110001,860900,122.110001
2017-03-30,120.970001,121.910004,120.900002,121.360001,526400,121.360001
2017-03-29,120.839996,121.769997,120.739998,121.370003,507400,121.370003
2017-03-28,120.889999,121.459999,119.940002,121.190002,888900,120.950002
2017-03-27,120.660004,120.660004,118.82,120.290001,1450100,120.051783
2017-03-24,120.400002,121.110001,120.309998,120.660004,716500,120.421053
2017-03-23,121.239998,121.720001,120.110001,120.400002,999500,120.161566
2017-03-22,120.959999,122.400002,120.599998,121.379997,1005800,121.139621
2017-03-21,122.00,123.150002,120.599998,120.980003,1339100,120.740419
2017-03-20,121.599998,122.269997,121.099998,121.650002,1343000,121.40909
2017-03-17,119.349998,122.089996,118.839996,121.669998,2289900,121.429047
2017-03-16,120.199997,120.199997,118.849998,119.410004,1081100,119.173528
2017-03-15,119.099998,120.169998,118.57,119.650002,1016300,119.413051
2017-03-14,119.199997,119.709999,118.470001,118.68,961600,118.444971
2017-03-13,120.25,120.639999,119.209999,119.790001,1630800,119.552773
2017-03-10,119.25,120.400002,119.25,120.080002,1544400,119.8422
2017-03-09,117.839996,119.449997,116.959999,119.18,1116500,118.94398
2017-03-08,117.080002,117.889999,116.639999,117.599998,904800,117.367108
2017-03-07,116.830002,117.330002,116.209999,117.07,887600,116.838158
2017-03-06,117.489998,117.760002,116.93,117.220001,851200,116.987863
2017-03-03,117.93,118.379997,117.300003,118.279999,708100,118.045761
2017-03-02,118.50,118.599998,117.519997,118.019997,772200,117.786274
2017-03-01,117.559998,119.449997,117.349998,118.889999,1101300,118.654554
2017-02-28,116.970001,117.480003,116.629997,117.080002,1244200,116.848141
2017-02-27,117.099998,117.300003,116.330002,116.959999,1577900,116.728376
2017-02-24,115.910004,117.07,115.639999,116.919998,990300,116.688454
2017-02-23,117.029999,117.389999,115.489998,116.379997,1463700,116.149522
2017-02-22,116.870003,117.25,116.360001,116.900002,1327900,116.668497
2017-02-21,116.940002,117.550003,116.540001,117.169998,1495800,116.937959
2017-02-17,116.209999,116.870003,115.330002,116.870003,1220700,116.638558
2017-02-16,117.57,118.00,115.870003,116.32,1490200,116.089644
2017-02-15,116.760002,117.75,116.709999,117.309998,1160200,117.077681
2017-02-14,117.379997,117.75,116.68,117.18,1129700,116.947941
2017-02-13,117.43,118.120003,117.239998,117.75,659900,117.516812
2017-02-10,117.540001,117.809998,116.870003,117.330002,780500,117.097646
2017-02-09,117.150002,118.099998,117.110001,117.599998,1002000,117.367108
2017-02-08,117.870003,118.220001,116.849998,117.150002,1011000,116.918002
2017-02-07,117.830002,118.379997,117.110001,118.110001,800100,117.8761
2017-02-06,117.779999,118.279999,116.730003,117.239998,1075200,117.00782
2017-02-03,118.199997,118.959999,117.629997,118.139999,1019000,117.906039
2017-02-02,117.75,118.32,117.050003,117.620003,1685500,117.387072
2017-02-01,118.809998,119.25,117.349998,118.510002,1461400,118.275309
2017-01-31,115.860001,120.410004,115.860001,118.330002,2963000,118.095665
2017-01-30,116.839996,116.839996,114.949997,115.389999,2850600,115.161485
2017-01-27,115.830002,117.800003,115.519997,116.959999,1213200,116.728376
2017-01-26,115.910004,116.260002,114.93,115.349998,1147600,115.121563
2017-01-25,114.559998,116.190002,114.389999,115.940002,1484600,115.710399
2017-01-24,113.93,115.339996,113.50,114.559998,1336300,114.333127
2017-01-23,113.379997,114.470001,113.379997,114.160004,1369700,113.933925
2017-01-20,114.800003,115.339996,113.190002,113.650002,1401800,113.424933
2017-01-19,115.110001,115.379997,113.919998,114.580002,934600,114.353092
2017-01-18,115.660004,116.00,114.730003,115.470001,902200,115.241329
2017-01-17,114.209999,115.75,114.050003,115.449997,1241400,115.221364
2017-01-13,114.620003,115.410004,114.089996,115.199997,1034300,114.971859
2017-01-12,113.709999,114.900002,111.980003,114.43,1546700,114.203387
2017-01-11,113.989998,116.160004,113.419998,114.75,2485000,114.522753
2017-01-10,110.510002,115.940002,110.50,113.669998,3973400,113.44489
2017-01-09,104.769997,107.199997,104.769997,107.00,1128100,106.788101
2017-01-06,105.139999,105.309998,103.620003,104.959999,1821000,104.75214
2017-01-05,104.580002,105.279999,104.110001,104.949997,1453900,104.742158
2017-01-04,103.879997,105.349998,103.379997,104.279999,1502800,104.073486
2017-01-03,103.870003,103.900002,102.589996,103.330002,1381100,103.125371
2016-12-30,103.309998,103.93,102.849998,103.199997,973800,102.995623
2016-12-29,103.00,103.739998,102.830002,103.50,683300,103.295032
2016-12-28,102.839996,104.199997,102.839996,103.059998,1315600,102.855901
2016-12-27,102.529999,103.389999,101.980003,103.139999,1146500,102.696221
2016-12-23,101.57,102.699997,101.43,102.32,664000,101.879749
2016-12-22,101.68,101.720001,100.870003,101.57,854500,101.132976
2016-12-21,101.830002,102.360001,101.370003,101.660004,1480700,101.222593
2016-12-20,102.879997,103.50,101.599998,101.849998,1763900,101.41177
2016-12-19,103.459999,103.779999,102.599998,102.860001,1145300,102.417427
2016-12-16,102.410004,103.529999,102.349998,103.50,2861000,103.054673
2016-12-15,102.50,103.839996,100.809998,102.650002,3247600,102.208331
2016-12-14,106.089996,106.269997,104.00,104.870003,2068400,104.418781
2016-12-13,105.769997,106.980003,105.389999,106.730003,1020400,106.270778
2016-12-12,105.440002,106.449997,105.220001,105.809998,1449400,105.354731
2016-12-09,105.160004,105.50,104.43,105.220001,1324600,104.767273
2016-12-08,104.449997,104.800003,103.779999,104.449997,1272500,104.000582
2016-12-07,104.230003,105.220001,103.300003,104.419998,1558800,103.970712
2016-12-06,101.18,104.739998,100.690002,104.610001,2005100,104.159897
2016-12-05,101.029999,101.510002,100.160004,101.43,1790000,100.993579
2016-12-02,100.160004,101.559998,99.589996,100.199997,1155000,99.768868
2016-12-01,101.790001,102.410004,99.110001,99.790001,1547800,99.360636
2016-11-30,103.440002,103.699997,101.639999,101.860001,1960100,101.42173
2016-11-29,103.57,104.339996,102.959999,103.400002,2183100,102.955104
